molecule_chembl_id,canonical_smiles,pIC50
CHEMBL431784,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2,8.167491087293763
CHEMBL54727,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,5.886056647693163
CHEMBL75919,CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,4.628932137728263
CHEMBL309351,C[C@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,6.021363051615525
CHEMBL75743,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCNC1N2,6.6252516539898965
CHEMBL76135,C[C@@]12CCN(Cc3ccccc3)C1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc12,6.289882634888183
CHEMBL440497,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,6.110138278741812
CHEMBL1202875,Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1,5.795880017344075
CHEMBL3215535,Cl.Cl.c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,6.154901959985743
CHEMBL1202865,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1,6.292429823902063
CHEMBL1202884,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4ccc5ccccc5c4nn3)CC2)cc1,6.568636235841013
CHEMBL1204162,Cl.O.c1ccc(CN2CCC(CCN=c3cc4c(n[nH]3)-c3ccccc3C4)CC2)cc1,6.638272163982407
CHEMBL1202874,Cl.Cl.c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1,6.318758762624412
CHEMBL1204299,Cc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O,6.026872146400302
CHEMBL1204296,CCc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O,6.036212172654444
CHEMBL1202885,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CC4)CC2)cc1,6.552841968657781
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,5.086186147616283
CHEMBL95272,COC(=O)CCc1ccc2c(c1)COP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)O2,5.055517327849832
CHEMBL95192,Cc1cn(C2C=CC(COP3(=O)OCc4c(Cl)cccc4O3)O2)c(=O)[nH]c1=O,6.2441251443275085
CHEMBL375567,Cc1cn([C@H]2C=C[C@@H](COP3(=O)OCc4cccc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O,5.376750709602099
CHEMBL97281,CCC(C)c1cccc2c1OP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)OC2,5.698970004336019
CHEMBL97720,Cc1cn(C2C=CC(COP3(=O)OCc4cccc(CCC(=O)O)c4O3)O2)c(=O)[nH]c1=O,4.301029995663981
CHEMBL330237,Cc1cccc2c1OP(=O)(OCC1C=CC(n3cnc4c(O)nc(N)nc43)C1)OC2,5.6020599913279625
CHEMBL97159,Cc1cn(C2C=CC(COP3(=O)OCc4cc(CCC(=O)OC(C)(C)C)ccc4O3)O2)c(=O)[nH]c1=O,5.356547323513812
CHEMBL329968,Cc1cn(C2C=CC(COP3(=O)OCc4c(ccc5ccccc45)O3)O2)c(=O)[nH]c1=O,5.4089353929735005
CHEMBL376065,Cc1cccc2c1OP(=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)OC2,5.920818753952375
